SLJ,S'L'J',A_ed,A_md,A,β_R (%),A_T (s⁻¹),τ_R (ms)
2H11/2,4F9/2,[159.66532123],[0.],[159.66532123],[0.38214658],[41781.17245184],[0.02393423]
2H11/2,4I11/2,[441.40433645],[0.],[441.40433645],[1.05646709],[41781.17245184],[0.02393423]
2H11/2,4I13/2,[665.10986755],[0.],[665.10986755],[1.59188895],[41781.17245184],[0.02393423]
2H11/2,4I15/2,[39919.32901719],[0.],[39919.32901719],[95.54382195],[41781.17245184],[0.02393423]
2H11/2,4I9/2,[595.23239137],[0.],[595.23239137],[1.42464262],[41781.17245184],[0.02393423]
2H11/2,4S3/2,[0.43151806],[0.],[0.43151806],[0.00103281],[41781.17245184],[0.02393423]
4S3/2,4F9/2,[5.61515849],[0.],[5.61515849],[0.05606046],[10016.25467943],[0.09983772]
4S3/2,4I11/2,[212.43072364],[0.],[212.43072364],[2.12085985],[10016.25467943],[0.09983772]
4S3/2,4I13/2,[2417.9229724],[0.],[2417.9229724],[24.13999094],[10016.25467943],[0.09983772]
4S3/2,4I15/2,[6911.71372576],[0.],[6911.71372576],[69.00497189],[10016.25467943],[0.09983772]
4S3/2,4I9/2,[468.57209913],[0.],[468.57209913],[4.67811686],[10016.25467943],[0.09983772]
4F9/2,4I11/2,[445.96829833],[0.],[445.96829833],[4.76836113],[9352.6535807],[0.10692153]
4F9/2,4I13/2,[442.43104733],[0.],[442.43104733],[4.73054031],[9352.6535807],[0.10692153]
4F9/2,4I15/2,[8435.20532496],[0.],[8435.20532496],[90.19050318],[9352.6535807],[0.10692153]
4F9/2,4I9/2,[29.04891008],[0.],[29.04891008],[0.31059538],[9352.6535807],[0.10692153]
