λ_ex (nm),Glass,Level,E_exp (cm⁻¹),Δλ_eff (nm),σₑ (x10⁻²¹ cm²),ΔG (x10⁻²⁸ cm³)
980,TZGE025,²H₁₁/₂ → ⁴I₁₅/₂,1.9214e+04,1.1580e+01,[81.78433322],[947.10091658]
980,TZGE025,⁴S₃/₂ → ⁴I₁₅/₂,1.8456e+04,1.5350e+01,[12.88066135],[197.72158576]
980,TZGE025,⁴F₉/₂ → ⁴I₁₅/₂,1.5251e+04,2.0663e+01,[25.33957267],[523.60130432]
980,TZGE050,²H₁₁/₂ → ⁴I₁₅/₂,1.9214e+04,1.2764e+01,[58.61172816],[748.09600643]
980,TZGE050,⁴S₃/₂ → ⁴I₁₅/₂,1.8447e+04,1.5210e+01,[10.33388416],[157.17898766]
980,TZGE050,⁴F₉/₂ → ⁴I₁₅/₂,1.5245e+04,2.1377e+01,[20.86498132],[446.03221331]
980,TZGE075,²H₁₁/₂ → ⁴I₁₅/₂,1.9205e+04,1.3720e+01,[58.95820661],[808.92907686]
980,TZGE075,⁴S₃/₂ → ⁴I₁₅/₂,1.8438e+04,1.6099e+01,[9.88209058],[159.09466945]
980,TZGE075,⁴F₉/₂ → ⁴I₁₅/₂,1.5257e+04,2.2309e+01,[20.15096885],[449.55553416]
980,TZGE100,²H₁₁/₂ → ⁴I₁₅/₂,1.9205e+04,1.4272e+01,[54.09982666],[772.12113679]
980,TZGE100,⁴S₃/₂ → ⁴I₁₅/₂,1.8419e+04,1.5771e+01,[10.01689873],[157.97354665]
980,TZGE100,⁴F₉/₂ → ⁴I₁₅/₂,1.5226e+04,2.2692e+01,[20.29091655],[460.44174724]
